File Path,Keyword,Hits
test_data\AD\AD\BF\A12B.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},30
test_data\AD\CD\3704.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},11
test_data\AE\BE\CD\BE\6215.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},14
test_data\AE\CF\6794.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},20
test_data\AE\CF\CF\CF\DA05.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},15
test_data\AE\CF\CF\CF\DA05.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},14
test_data\AF\52DE.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},26
test_data\BD\AF\DE5D.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},11
test_data\BD\BD\BE\AD\C9D4.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},28
test_data\BD\CD47.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},10
test_data\BD\CE\BE\AD\ED0A.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},27
test_data\BE\CD\CE\A03E.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},16
test_data\CE\BD\BE\BF\EBE2.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},16
test_data\CE\BD\BE\BF\EBE2.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},12
test_data\CE\CD\3130.txt,[0-9]{4}[\s][0-9]{4}[\s][0-9]{4}[\s][0-9]{4},22
test_data\CE\CD\3130.txt,[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{4},11
